	E1	E2	L1	L2	E6	E7	Type
 U31791	1	1	1	1	1	1	
D21208	0	0	0	0	0	0	55
AY262282	1	1	1	1	1	1	
U31788	1	1	1	1	1	1	
M74117	1	1	1	1	1	1	
J04353	1	1	1	1	1	1	
D90400	0	0	0	0	0	0	58
M73236	0	0	0	0	0	0	42
M12732	1	1	1	1	1	1	
AF436130	1	1	1	1	0	1	
M62849	1	1	1	1	1	1	
NC_001526	1	1	1	1	1	1	
HQ537751	1	1	1	1	1	1	
AF092932	1	1	1	1	1	1	
FR872717	1	1	1	1	1	1	
DQ344807	1	1	1	1	1	1	
KC470260	1	1	1	1	1	1	
